Id	Form	Lemma	UPosTag	XPosTag	Feats	Head	DepRel	Deps	Misc
216	многие	много	PRON	_	_	217	amod	_	@juad1986m-words#@juad1986m#1614.053#1614.412
217	эээ	эээ	INTJ	_		227	obl	_	@juad1986m-words#@juad1986m#1614.412#1614.771
218	многие	много	PRON	_	_	219	amod	_	@juad1986m-words#@juad1986m#1614.771#1615.131
219	парни	парень	NOUN	_	Animacy=Anim|Case=Nom|Gender=Masc|Number=Plur	227	nsubj	_	@juad1986m-words#@juad1986m#1615.131#1615.49
220	с	с	ADP	_	_	221	case	_	@juad1986m-words#@juad1986m#1615.49#1615.849
221	фанатья	фанат	NOUN	_	Animacy=Inan|Case=Gen|Gender=Neut|Number=Sing	219	nmod	_	@juad1986m-words#@juad1986m#1615.849#1616.209
222	националистических	националистический	ADJ	_	Case=Gen|Degree=Pos|Number=Plur	223	amod	_	@juad1986m-words#@juad1986m#1616.209#1616.568
223	взглядов	взгляд	NOUN	_	Animacy=Inan|Case=Gen|Gender=Masc|Number=Plur	221	nmod	_	@juad1986m-words#@juad1986m#1616.568#1616.928
224	/	/	PUNCT	_	_	225	punct	_	@juad1986m-words#@juad1986m#1616.928#1617.287
225	эээ	эээ	INTJ	_		221	nmod	_	@juad1986m-words#@juad1986m#1617.287#1617.646
226	/	/	PUNCT	_	_	225	punct	_	@juad1986m-words#@juad1986m#1617.646#1618.006
227	близки	близкий	ADJ	_	Degree=Pos|Number=Plur|Variant=Short	203	obl	_	@juad1986m-words#@juad1986m#1618.006#1618.365
228	ли	ли	PART	_	_	203	advmod	_	@juad1986m-words#@juad1986m#1618.365#1618.724
229	они	они	PRON	_	Case=Nom|Number=Plur|Person=3	203	nsubj	_	@juad1986m-words#@juad1986m#1618.724#1619.084
230	тебе	ты	PRON	_	Case=Dat|Number=Sing|Person=2	203	iobj	_	@juad1986m-words#@juad1986m#1619.084#1619.443
231	?	?	PUNCT	_	_	203	punct	_	@juad1986m-words#@juad1986m#1619.443#1619.803
232	ага	ага	NOUN	_	Animacy=Inan|Case=Gen|Gender=Masc|Number=Sing	203	obl	_	@fai1992m-words#@fai1992m#1263.703#1264.198
233	нет	нет	PART	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act	182	conj	_	@fai1992m-words#@fai1992m#1266.085#1266.414
234	мои	мой	DET	_	Case=Nom|Number=Plur	235	det	_	@fai1992m-words#@fai1992m#1266.414#1266.743
235	родители	родитель	NOUN	_	Animacy=Anim|Case=Nom|Gender=Masc|Number=Plur	240	nsubj	_	@fai1992m-words#@fai1992m#1266.743#1267.073
236	учителя	учитель	NOUN	_	Animacy=Anim|Case=Gen|Gender=Masc|Number=Sing	235	nmod	_	@fai1992m-words#@fai1992m#1267.073#1267.402
237	мой	мой	DET	_	Case=Nom|Gender=Masc|Number=Sing	238	det	_	@fai1992m-words#@fai1992m#1267.402#1267.731
238	дед	дед	NOUN	_	Animacy=Anim|Case=Nom|Gender=Masc|Number=Sing	240	nsubj	_	@fai1992m-words#@fai1992m#1267.731#1268.061
239	был	быть	AUX	_	Aspect=Imp|Gender=Masc|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act	240	cop	_	@fai1992m-words#@fai1992m#1268.061#1268.39
240	дипломатом	дипломат	NOUN	_	Animacy=Anim|Case=Ins|Gender=Masc|Number=Sing	233	conj	_	@fai1992m-words#@fai1992m#1268.39#1268.72
241	эээ	эээ	INTJ	_		240	nmod	_	@fai1992m-words#@fai1992m#1269.262#1269.586
242	/	/	PUNCT	_	_	246	punct	_	@fai1992m-words#@fai1992m#1269.586#1269.911
243	если	если	SCONJ	_	_	246	mark	_	@fai1992m-words#@fai1992m#1269.911#1270.235
244	/	/	PUNCT	_	_	243	punct	_	@fai1992m-words#@fai1992m#1270.235#1270.56
245	ты	ты	PRON	_	Case=Nom|Number=Sing|Person=2	246	nsubj	_	@fai1992m-words#@fai1992m#1270.56#1270.884
246	может	мочь	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act	240	advcl	_	@fai1992m-words#@fai1992m#1270.884#1271.209
247	не	не	PART	_	_	248	advmod	_	@fai1992m-words#@fai1992m#1271.209#1271.534
248	знаешь	знать	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=2|Tense=Pres|VerbForm=Fin|Voice=Act	252	advcl	_	@fai1992m-words#@fai1992m#1271.534#1271.858
249	в	в	ADP	_	_	250	case	_	@fai1992m-words#@fai1992m#1271.858#1272.183
250	общем	общем	ADV	_	Case=Loc|Degree=Pos|Gender=Masc|Number=Sing	248	obl	_	@fai1992m-words#@fai1992m#1272.183#1272.507
251	/	/	PUNCT	_	_	252	punct	_	@fai1992m-words#@fai1992m#1272.507#1272.832
252	есть	быть	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act	246	conj	_	@fai1992m-words#@fai1992m#1272.832#1273.157
253	/	/	PUNCT	_	_	255	punct	_	@fai1992m-words#@fai1992m#1273.157#1273.481
254	в	в	ADP	_	_	255	case	_	@fai1992m-words#@fai1992m#1273.481#1273.806
255	каждом	каждый	DET	_	Case=Loc|Gender=Masc|Number=Sing	252	det	_	@fai1992m-words#@fai1992m#1273.806#1274.13
256	/	/	PUNCT	_	_	252	punct	_	@fai1992m-words#@fai1992m#1274.13#1274.455
257	в	в	ADP	_	_	259	case	_	@fai1992m-words#@fai1992m#1274.455#1274.779
258	каждой	каждый	DET	_	Case=Loc|Gender=Fem|Number=Sing	259	det	_	@fai1992m-words#@fai1992m#1274.779#1275.104
259	стране	страна	NOUN	_	Animacy=Inan|Case=Loc|Gender=Fem|Number=Sing	252	obl	_	@fai1992m-words#@fai1992m#1275.104#1275.429
260	есть	быть	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act	252	nsubj	_	@fai1992m-words#@fai1992m#1275.429#1275.753
261	русское	русский	ADJ	_	Case=Nom|Degree=Pos|Gender=Neut|Number=Sing	262	amod	_	@fai1992m-words#@fai1992m#1275.753#1276.078
262	посольство	посольство	NOUN	_	Animacy=Inan|Case=Nom|Gender=Neut|Number=Sing	266	nsubj	_	@fai1992m-words#@fai1992m#1276.078#1276.402
263	/	/	PUNCT	_	_	265	punct	_	@fai1992m-words#@fai1992m#1276.402#1276.727
264	практически	практически	ADV	_	Degree=Pos	265	obl	_	@fai1992m-words#@fai1992m#1276.727#1277.052
265	#смеется#	#смеется#	X	_	Animacy=Inan|Case=Gen|Gender=Fem|Number=Sing	262	nmod	_	@fai1992m-words#@fai1992m#1279.003#1279.483
266	слышал	слышать	VERB	_	Aspect=Imp|Gender=Masc|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act	260	parataxis	_	@fai1992m-words#@fai1992m#1279.483#1279.963
267	в	в	ADP	_	_	268	case	_	@fai1992m-words#@fai1992m#1282.157#1282.58
268	общем	общем	ADV	_	Case=Loc|Degree=Pos|Gender=Masc|Number=Sing	266	obl	_	@fai1992m-words#@fai1992m#1282.58#1283.004
269	и	и	CCONJ	_	_	275	cc	_	@fai1992m-words#@fai1992m#1283.004#1283.428
270	в	в	ADP	_	_	273	case	_	@fai1992m-words#@fai1992m#1284.416#1284.699
271	этом	этот	DET	_	Case=Loc|Gender=Neut|Number=Sing	273	det	_	@fai1992m-words#@fai1992m#1284.699#1284.983
272	русском	русский	ADJ	_	Case=Loc|Degree=Pos|Gender=Neut|Number=Sing	273	amod	_	@fai1992m-words#@fai1992m#1284.983#1285.267
273	посольстве	посольство	NOUN	_	Animacy=Inan|Case=Loc|Gender=Neut|Number=Sing	275	obl	_	@fai1992m-words#@fai1992m#1285.267#1285.551
274	#смеется#	#смеется#	X	_	Animacy=Inan|Case=Gen|Gender=Fem|Number=Sing	273	nmod	_	@fai1992m-words#@fai1992m#1285.551#1285.835
275	работают	работать	VERB	_	Aspect=Imp|Mood=Ind|Number=Plur|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act	266	conj	_	@fai1992m-words#@fai1992m#1285.835#1286.118
276	/	/	PUNCT	_	_	278	punct	_	@fai1992m-words#@fai1992m#1286.118#1286.402
277	русские	русский	ADJ	_	Case=Nom|Degree=Pos|Number=Plur	278	amod	_	@fai1992m-words#@fai1992m#1286.402#1286.686
278	люди	человек	NOUN	_	Animacy=Anim|Case=Nom|Gender=Masc|Number=Plur	275	nsubj	_	@fai1992m-words#@fai1992m#1286.686#1286.97
279	и	и	CCONJ	_	_	282	cc	_	@fai1992m-words#@fai1992m#1286.97#1287.254
280	у	у	ADP	_	_	281	case	_	@fai1992m-words#@fai1992m#1287.254#1287.537
281	них	они	PRON	_	Case=Gen|Number=Plur|Person=3	282	obl	_	@fai1992m-words#@fai1992m#1287.537#1287.821
282	есть	быть	VERB	_	Aspect=Imp|Mood=Ind|Number=Plur|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act	266	conj	_	@fai1992m-words#@fai1992m#1287.821#1288.105
283	дети	ребенок	NOUN	_	Animacy=Anim|Case=Nom|Gender=Masc|Number=Plur	285	nsubj	_	@fai1992m-words#@fai1992m#1288.105#1288.389
284	они	они	PRON	_	Case=Nom|Number=Plur|Person=3	285	nsubj	_	@fai1992m-words#@fai1992m#1288.389#1288.673
285	учатся	учиться	VERB	_	Aspect=Imp|Mood=Ind|Number=Plur|Person=3|Tense=Pres|VerbForm=Fin|Voice=Mid	266	conj	_	@fai1992m-words#@fai1992m#1288.673#1288.956
286	в	в	ADP	_	_	287	case	_	@fai1992m-words#@fai1992m#1288.956#1289.24
287	школе	школа	NOUN	_	Animacy=Inan|Case=Loc|Gender=Fem|Number=Sing	285	obl	_	@fai1992m-words#@fai1992m#1289.24#1289.524
288	и	и	CCONJ	_	_	295	cc	_	@fai1992m-words#@fai1992m#1289.524#1289.808
289	очень	очень	ADV	_	Degree=Pos	290	advmod	_	@fai1992m-words#@fai1992m#1289.808#1290.092
290	много	много	ADV	_	Degree=Pos	295	advmod	_	@fai1992m-words#@fai1992m#1290.092#1290.375
291	русских	русский	ADJ	_	Case=Gen|Degree=Pos|Number=Plur	290	obl	_	@fai1992m-words#@fai1992m#1290.375#1290.659
292	всяких	всякий	DET	_	Case=Gen|Number=Plur	290	det	_	@fai1992m-words#@fai1992m#1290.659#1290.943
293	там	там	ADV	_	Degree=Pos	290	advmod	_	@fai1992m-words#@fai1992m#1290.943#1291.227
294	диаспор	диаспора	NOUN	_	Animacy=Inan|Case=Nom|Gender=Masc|Number=Sing	295	nsubj	_	@fai1992m-words#@fai1992m#1291.227#1291.51
295	учится	учиться	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Mid	285	conj	_	@fai1992m-words#@fai1992m#1291.51#1291.794
296	эээ	эээ	INTJ	_		295	nsubj	_	@fai1992m-words#@fai1992m#1291.794#1292.078
297	/	/	PUNCT	_	_	299	punct	_	@fai1992m-words#@fai1992m#1292.078#1292.362
298	на	на	ADP	_	_	299	case	_	@fai1992m-words#@fai1992m#1292.362#1292.646
299	русском	русский	ADJ	_	Case=Loc|Degree=Pos|Gender=Masc|Number=Sing	296	obl	_	@fai1992m-words#@fai1992m#1292.646#1292.93
300	и	и	CCONJ	_	_	303	cc	_	@fai1992m-words#@fai1992m#1293.4#1293.718
301	для	для	ADP	_	_	302	case	_	@fai1992m-words#@fai1992m#1293.718#1294.037
302	этого	это	DET	_	Case=Gen|Gender=Neut|Number=Sing	303	obl	_	@fai1992m-words#@fai1992m#1294.037#1294.356
303	существуют	существовать	VERB	_	Aspect=Imp|Mood=Ind|Number=Plur|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act	296	conj	_	@fai1992m-words#@fai1992m#1294.356#1294.675
304	русские	русский	ADJ	_	Case=Nom|Degree=Pos|Number=Plur	305	amod	_	@fai1992m-words#@fai1992m#1294.675#1294.994
305	школы	школа	NOUN	_	Animacy=Inan|Case=Nom|Gender=Fem|Number=Plur	303	nsubj	_	@fai1992m-words#@fai1992m#1294.994#1295.313
306	при	при	ADP	_	_	307	case	_	@fai1992m-words#@fai1992m#1295.313#1295.632
307	посольствах	посольства	NOUN	_	Animacy=Inan|Case=Loc|Gender=Neut|Number=Plur	305	nmod	_	@fai1992m-words#@fai1992m#1295.632#1295.951
308	и	и	CCONJ	_	_	356	cc	_	@fai1992m-words#@fai1992m#1296.854#1297.191
309	там	там	ADV	_	Degree=Pos	356	advmod	_	@fai1992m-words#@fai1992m#1297.191#1297.528
310	у	у	ADP	_	_	311	case	_	@fai1992m-words#@fai1992m#1297.528#1297.865
311	меня	я	PRON	_	Case=Gen|Number=Sing|Person=1	356	obl	_	@fai1992m-words#@fai1992m#1297.865#1298.202
312	родители	родитель	NOUN	_	Animacy=Anim|Case=Nom|Gender=Masc|Number=Plur	356	nsubj	_	@fai1992m-words#@fai1992m#1298.202#1298.539
313	что	что	SCONJ	_	_	340	mark	_	@fai1992m-words#@fai1992m#1298.539#1298.876
314	в	в	ADP	_	_	315	case	_	@fai1992m-words#@fai1992m#1298.876#1299.213
315	Китае	Китай	PROPN	_	Animacy=Inan|Case=Loc|Gender=Masc|Number=Sing	340	obl	_	@fai1992m-words#@fai1992m#1299.213#1299.55
316	/	/	PUNCT	_	_	319	punct	_	@fai1992m-words#@fai1992m#1299.55#1299.887
317	и	и	CCONJ	_	_	319	cc	_	@fai1992m-words#@fai1992m#1299.887#1300.224
318	в	в	ADP	_	_	319	case	_	@fai1992m-words#@fai1992m#1300.224#1300.561
319	эээ	эээ	INTJ	_		315	conj	_	@fai1992m-words#@fai1992m#1300.561#1300.898
320	Венгрии	Венгрия	PROPN	_	Animacy=Inan|Case=Loc|Gender=Fem|Number=Sing	319	nmod	_	@fai1992m-words#@fai1992m#1300.898#1301.235
321	в	в	ADP	_	_	322	case	_	@fai1992m-words#@fai1992m#1301.235#1301.572
322	Будапеште	Будапешт	PROPN	_	Animacy=Inan|Case=Loc|Gender=Masc|Number=Sing	320	nmod	_	@fai1992m-words#@fai1992m#1301.572#1301.909
323	да	да	CCONJ	_	_	324	cc	_	@fai1992m-words#@fai1992m#1306.238#1306.557
324	эээ	эээ	INTJ	_		322	flat:foreign	_	@fai1992m-words#@fai1992m#1317.2#1317.601
325	это	это	PRON	_	Animacy=Inan|Case=Nom|Gender=Neut|Number=Sing	356	nsubj	_	@fai1992m-words#@fai1992m#1317.601#1318.002
326	мой	мой	DET	_	Case=Nom|Gender=Masc|Number=Sing	327	det	_	@fai1992m-words#@fai1992m#1318.002#1318.403
327	друг	друг	NOUN	_	Animacy=Anim|Case=Nom|Gender=Masc|Number=Sing	330	nsubj	_	@fai1992m-words#@fai1992m#1318.403#1318.804
328	Родион	Родион	PROPN	_	Animacy=Anim|Case=Nom|Gender=Masc|Number=Sing	327	appos	_	@fai1992m-words#@fai1992m#1318.804#1319.205
329	очень	очень	ADV	_	Degree=Pos	330	obl	_	@fai1992m-words#@fai1992m#1319.205#1319.607
330	хороший	хороший	ADJ	_	Animacy=Inan|Case=Acc|Degree=Pos|Gender=Masc|Number=Sing	325	amod	_	@fai1992m-words#@fai1992m#1319.607#1320.008
331	и	и	CCONJ	_	_	336	cc	_	@fai1992m-words#@fai1992m#1320.008#1320.409
332	пос…	пос…	X	_	_	331	punct	_	@fai1992m-words#@fai1992m#1320.409#1320.81
333	как	как	SCONJ	_	_	336	advmod	_	@fai1992m-words#@fai1992m#1320.81#1321.211
334	раз	раз	NOUN	_	Animacy=Inan|Case=Acc|Gender=Masc|Number=Sing	333	fixed	_	@fai1992m-words#@fai1992m#1321.211#1321.612
335	вот	вот	PART	_	_	336	advmod	_	@fai1992m-words#@fai1992m#1321.612#1322.014
336	рэп	рэп	NOUN	_	Animacy=Inan|Case=Acc|Gender=Masc|Number=Sing	330	conj	_	@fai1992m-words#@fai1992m#1322.014#1322.311
337	вообще	вообще	ADV	_	Degree=Pos	336	advmod	_	@fai1992m-words#@fai1992m#1322.311#1322.608
338	вот	вот	PART	_	_	337	advmod	_	@fai1992m-words#@fai1992m#1322.608#1322.906
339	я	я	PRON	_	Case=Nom|Number=Sing|Person=1	340	nsubj	_	@fai1992m-words#@fai1992m#1322.906#1323.203
340	начал	начать	VERB	_	Aspect=Perf|Gender=Masc|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act	356	advcl	_	@fai1992m-words#@fai1992m#1323.203#1323.501
341	читать	читать	VERB	_	Aspect=Imp|VerbForm=Inf|Voice=Act	356	xcomp	_	@fai1992m-words#@fai1992m#1323.501#1323.798
342	рэп	рэп	NOUN	_	Animacy=Inan|Case=Acc|Gender=Masc|Number=Sing	341	obj	_	@fai1992m-words#@fai1992m#1323.798#1324.095
343	именно	именно	PART	_	_	345	advmod	_	@fai1992m-words#@fai1992m#1324.095#1324.393
344	благодаря	благодаря	ADP	_	_	345	case	_	@fai1992m-words#@fai1992m#1324.393#1324.69
345	ему	он	PRON	_	Case=Dat|Gender=Masc|Number=Sing|Person=3	356	obl	_	@fai1992m-words#@fai1992m#1324.69#1324.988
346	/	/	PUNCT	_	_	347	punct	_	@fai1992m-words#@fai1992m#1324.988#1325.285
347	то	то	PART	_	Animacy=Inan|Case=Nom|Gender=Neut|Number=Sing	356	mark	_	@fai1992m-words#@fai1992m#1325.285#1325.583
348	есть	быть	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act	347	fixed	_	@fai1992m-words#@fai1992m#1325.583#1325.88
349	мы	мы	PRON	_	Case=Nom|Number=Plur|Person=1	356	nsubj	_	@fai1992m-words#@fai1992m#1325.88#1326.177
350	первый	первый	NUM	_	Case=Nom|Degree=Pos|Gender=Masc|Number=Sing	351	amod	_	@fai1992m-words#@fai1992m#1326.177#1326.475
351	фристайл	фристайл	NOUN	_	Animacy=Anim|Case=Nom|Gender=Masc|Number=Sing	356	nsubj	_	@fai1992m-words#@fai1992m#1326.475#1326.772
352	то	то	PART	_	Animacy=Inan|Case=Nom|Gender=Neut|Number=Sing	355	mark	_	@fai1992m-words#@fai1992m#1326.772#1327.07
353	есть	быть	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act	352	fixed	_	@fai1992m-words#@fai1992m#1327.07#1327.367
354	он	он	PRON	_	Case=Nom|Gender=Masc|Number=Sing|Person=3	355	nsubj	_	@fai1992m-words#@fai1992m#1327.367#1327.664
355	говорит	говорить	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act	356	advcl	_	@fai1992m-words#@fai1992m#1327.664#1327.962
356	погнали	погнать	VERB	_	Aspect=Perf|Mood=Ind|Number=Plur|Tense=Past|VerbForm=Fin|Voice=Act	305	conj	_	@fai1992m-words#@fai1992m#1327.962#1328.259
357	ко	к	ADP	_	_	358	case	_	@fai1992m-words#@fai1992m#1328.259#1328.557
358	мне	я	PRON	_	Case=Dat|Number=Sing|Person=1	356	obl	_	@fai1992m-words#@fai1992m#1328.557#1328.854
359	типа	тип	NOUN	_	Animacy=Inan|Case=Gen|Gender=Masc|Number=Sing	356	obl	_	@fai1992m-words#@fai1992m#1328.854#1329.152
360	вот	вот	PART	_	_	359	advmod	_	@fai1992m-words#@fai1992m#1329.152#1329.449
361	дис…	диск	NOUN	_	_	360	punct	_	@fai1992m-words#@fai1992m#1329.449#1329.746
362	дисочки	дисочек	NOUN	_	Animacy=Inan|Case=Gen|Gender=Fem|Number=Sing	360	nsubj	_	@fai1992m-words#@fai1992m#1329.746#1330.044
363	тебе	ты	PRON	_	Case=Dat|Number=Sing|Person=2	367	iobj	_	@fai1992m-words#@fai1992m#1330.044#1330.341
364	там	там	ADV	_	Degree=Pos	367	advmod	_	@fai1992m-words#@fai1992m#1330.341#1330.639
365	постоянно	постоянно	ADV	_	Degree=Pos	367	advmod	_	@fai1992m-words#@fai1992m#1330.639#1330.936
366	он	он	PRON	_	Case=Nom|Gender=Masc|Number=Sing|Person=3	367	nsubj	_	@fai1992m-words#@fai1992m#1330.936#1331.234
367	переводил	переводить	VERB	_	Aspect=Imp|Gender=Masc|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act	545	xcomp	_	@fai1992m-words#@fai1992m#1331.234#1331.531
368	мне	я	PRON	_	Case=Dat|Number=Sing|Person=1	367	iobj	_	@fai1992m-words#@fai1992m#1331.531#1331.828
369	какие-то	какой-то	PRON	_	Case=Nom|Number=Plur	370	det	_	@fai1992m-words#@fai1992m#1331.828#1332.126
370	текста	текст	NOUN	_	Animacy=Inan|Case=Gen|Gender=Masc|Number=Sing	367	obl	_	@fai1992m-words#@fai1992m#1332.126#1332.423
371	/	/	PUNCT	_	_	372	punct	_	@fai1992m-words#@fai1992m#1332.423#1332.721
372	иностранных	иностранный	ADJ	_	Case=Gen|Degree=Pos|Number=Plur	370	nmod	_	@fai1992m-words#@fai1992m#1332.721#1333.018
373	там	там	ADV	_	Degree=Pos	370	advmod	_	@fai1992m-words#@fai1992m#1333.018#1333.315
374	Эминема	Эминем	PROPN	_	Animacy=Inan|Case=Nom|Gender=Fem|Number=Sing	373	obl	_	@fai1992m-words#@fai1992m#1333.315#1333.613
375	там	там	ADV	_	Degree=Pos	378	advmod	_	@fai1992m-words#@fai1992m#1333.613#1333.91
376	а	а	CCONJ	_	_	378	cc	_	@fai1992m-words#@fai1992m#1333.91#1334.208
377	я	я	PRON	_	Case=Nom|Number=Sing|Person=1	378	nsubj	_	@fai1992m-words#@fai1992m#1334.208#1334.505
378	говорю	говорить	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=1|Tense=Pres|VerbForm=Fin|Voice=Act	374	conj	_	@fai1992m-words#@fai1992m#1334.505#1334.803
379	а	а	CCONJ	_	_	385	cc	_	@fai1992m-words#@fai1992m#1334.803#1335.1
380	чё	что	SCONJ	_	Animacy=Inan|Case=Acc|Gender=Neut|Number=Sing	385	obj	_	@fai1992m-words#@fai1992m#1335.1#1335.397
381	а	а	CCONJ	_	_	385	cc	_	@fai1992m-words#@fai1992m#1335.397#1335.695
382	чё	что	SCONJ	_	Case=Acc|Gender=Neut|Number=Sing	383	det	_	@fai1992m-words#@fai1992m#1335.695#1335.992
383	это	это	DET	_	Case=Acc|Gender=Neut|Number=Sing	385	obj	_	@fai1992m-words#@fai1992m#1335.992#1336.29
384	он	он	PRON	_	Case=Nom|Gender=Masc|Number=Sing|Person=3	385	nsubj	_	@fai1992m-words#@fai1992m#1336.29#1336.587
385	читает	читать	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act	378	conj	_	@fai1992m-words#@fai1992m#1336.587#1336.885
386	я	я	PRON	_	Case=Nom|Number=Sing|Person=1	390	nsubj	_	@fai1992m-words#@fai1992m#1336.885#1337.182
387	всю	весь	DET	_	Case=Acc|Gender=Fem|Number=Sing	388	det	_	@fai1992m-words#@fai1992m#1337.182#1337.479
388	жизнь	жизнь	NOUN	_	Animacy=Inan|Case=Acc|Gender=Fem|Number=Sing	390	obj	_	@fai1992m-words#@fai1992m#1337.479#1337.777
389	ну	ну	PART	_	_	390	parataxis	_	@fai1992m-words#@fai1992m#1337.777#1338.074
390	знаю	знать	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=1|Tense=Pres|VerbForm=Fin|Voice=Act	385	advcl	_	@fai1992m-words#@fai1992m#1338.074#1338.372
391	этот	этот	DET	_	Case=Acc|Gender=Masc|Number=Sing	392	det	_	@fai1992m-words#@fai1992m#1338.372#1338.669
392	трек	трек	NOUN	_	Animacy=Inan|Case=Acc|Gender=Masc|Number=Sing	390	obl	_	@fai1992m-words#@fai1992m#1338.669#1338.966
393	а	а	CCONJ	_	_	395	cc	_	@fai1992m-words#@fai1992m#1338.966#1339.264
394	о	о	ADP	_	_	395	case	_	@fai1992m-words#@fai1992m#1339.264#1339.561
395	чем	что	PRON	_	Case=Loc	392	conj	_	@fai1992m-words#@fai1992m#1339.561#1339.859
396	он	он	PRON	_	Case=Nom|Gender=Masc|Number=Sing|Person=3	395	advmod	_	@fai1992m-words#@fai1992m#1339.859#1340.156
397	/	/	PUNCT	_	_	399	punct	_	@fai1992m-words#@fai1992m#1340.156#1340.454
398	я	я	PRON	_	Case=Nom|Number=Sing|Person=1	399	nsubj	_	@fai1992m-words#@fai1992m#1340.454#1340.751
399	узнаю	узнать	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=1|Tense=Pres|VerbForm=Fin|Voice=Act	396	parataxis	_	@fai1992m-words#@fai1992m#1340.751#1341.048
400	о	о	ADP	_	_	401	case	_	@fai1992m-words#@fai1992m#1341.048#1341.346
401	чем	что	PRON	_	Case=Loc	406	obl	_	@fai1992m-words#@fai1992m#1341.346#1341.643
402	он	он	PRON	_	Case=Nom|Gender=Masc|Number=Sing|Person=3	406	nsubj	_	@fai1992m-words#@fai1992m#1341.643#1341.941
403	потом	потом	ADV	_	Degree=Pos	406	advmod	_	@fai1992m-words#@fai1992m#1341.941#1342.238
404	эээ	эээ	INTJ	_		406	advmod	_	@fai1992m-words#@fai1992m#1342.238#1342.536
405	мы	мы	PRON	_	Case=Nom|Number=Plur|Person=1	406	nsubj	_	@fai1992m-words#@fai1992m#1342.536#1342.833
406	начинаем	начинать	VERB	_	Aspect=Imp|Mood=Ind|Number=Plur|Person=1|Tense=Pres|VerbForm=Fin|Voice=Act	399	conj	_	@fai1992m-words#@fai1992m#1342.833#1343.13
407	фристайлить	фристайлить	VERB	_	Aspect=Imp|VerbForm=Inf|Voice=Act	406	xcomp	_	@fai1992m-words#@fai1992m#1343.13#1343.428
408	там	там	ADV	_	Degree=Pos	407	advmod	_	@fai1992m-words#@fai1992m#1343.428#1343.725
409	на	на	ADP	_	_	413	case	_	@fai1992m-words#@fai1992m#1343.725#1344.023
410	самый	самый	PRON	_	Animacy=Inan|Case=Acc|Degree=Pos|Gender=Masc|Number=Sing	411	amod	_	@fai1992m-words#@fai1992m#1344.023#1344.32
411	такой	такой	PRON	_	Case=Acc|Gender=Masc|Number=Sing	413	det	_	@fai1992m-words#@fai1992m#1344.32#1344.617
412	дерьмовый	дерьмовый	ADJ	_	Animacy=Inan|Case=Acc|Degree=Pos|Gender=Masc|Number=Sing	413	amod	_	@fai1992m-words#@fai1992m#1344.617#1344.915
413	филипс	филипс	NOUN	_	Animacy=Inan|Case=Acc|Gender=Masc|Number=Sing	407	obl	_	@fai1992m-words#@fai1992m#1344.915#1345.212
414	эээ	эээ	INTJ	_		406	obl	_	@fai1992m-words#@fai1992m#1345.212#1345.51
415	микрофон	микрофон	NOUN	_	Animacy=Inan|Case=Gen|Gender=Fem|Number=Plur	414	nmod	_	@fai1992m-words#@fai1992m#1345.51#1345.807
416	и	и	CCONJ	_	_	417	cc	_	@fai1992m-words#@fai1992m#1345.807#1346.105
417	эээ	эээ	INTJ	_		415	conj	_	@fai1992m-words#@fai1992m#1346.105#1346.402
418	первый	первый	NUM	_	Animacy=Inan|Case=Acc|Degree=Pos|Gender=Masc|Number=Sing	419	amod	_	@fai1992m-words#@fai1992m#1346.402#1346.699
419	фристайл	фристайл	NOUN	_	Animacy=Inan|Case=Acc|Gender=Masc|Number=Sing	414	nmod	_	@fai1992m-words#@fai1992m#1346.699#1346.997
420	и	и	CCONJ	_	_	423	cc	_	@fai1992m-words#@fai1992m#1346.997#1347.294
421	в	в	ADP	_	_	423	case	_	@fai1992m-words#@fai1992m#1347.294#1347.592
